created_at,text
926196969000849408,2017-11-02 21:18:59,"b""RT @scavendish: @CountryMusic But saying that media can't bring up certain topics or they'll be kicked out? That's just Music Row disconnec\xe2\x80\xa6"""
926196936343982080,2017-11-02 21:18:52,"b""RT @scavendish: @CountryMusic It's a red carpet event. It's the night CMA celebrates the year. I get that there will be no in depth discuss\xe2\x80\xa6"""
926196912801370117,2017-11-02 21:18:46,"b""RT @scavendish: The @CountryMusic Association wants to bury its head in sand and pretend that 56 people weren't killed/HUNDREDS injured at\xe2\x80\xa6"""
926196844790800386,2017-11-02 21:18:30,b'RT @scavendish: This is 100% bullshit. https://t.co/7EiwxZBafa'
926196776691994630,2017-11-02 21:18:14,"b""RT @dpatrickrodgers: You don't get to tell the press what questions we can and cannot ask. https://t.co/oWAqJ3ox2a"""
926192840497082374,2017-11-02 21:02:35,"b""CMA to Media: You can't talk about Las Vegas, guns or politics\nhttps://t.co/n0MhIKiVTg https://t.co/peXwre1m3O"""
926192080736710657,2017-11-02 20:59:34,"b""RT @BitesBlog: Chef Matt Bolus opening Gertie's Bar in the Gulch; cocktail spot to take ground level of @The404Kitchen's new space. https:/\xe2\x80\xa6"""
926177103896342528,2017-11-02 20:00:03,"b'Rosemary bar in East Nashville is a hit, but its restaurant companion Beauty Queen faces legal hurdles.\xe2\x80\xa6 https://t.co/2qyJ4wxbZq'"
926160417197617152,2017-11-02 18:53:45,"b'In wake of misconduct allegations first raised by the Scene, Webster PR has lost its entire slate of music acts\xe2\x80\xa6 https://t.co/meSbOnzYNX'"
926146910057938944,2017-11-02 18:00:04,"b""Part of this week's 'Gimme Shelter' issue: A massive East Nashville home turns out to be more than meets the eye.\xe2\x80\xa6 https://t.co/sxaFCmcFHW"""
926131667013685249,2017-11-02 16:59:30,b'RT @BitesBlog: Henley chef and bartender to represent Nashville at James Beard House in New York. @beardfoundation https://t.co/8yV87L3sjY\xe2\x80\xa6'
926130144863031296,2017-11-02 16:53:27,b'RT @BitesBlog: Join the Southern Foodways Alliance (@potlikker) at @Bastion615 to toast the release of new cocktail book.\nhttps://t.co/HcdY\xe2\x80\xa6'
926128905211301888,2017-11-02 16:48:32,"b""'@Thor: Ragnarok' is one of the best Marvel movies yet. https://t.co/vnmDd5303K https://t.co/kId6OmFYin"""
926123279475183616,2017-11-02 16:26:11,b'RT @NashvilleCream: Monsters of dweeby alt rock @PIXIES and @Weezer to co-headline @Ascend_amp in July. https://t.co/fnTyS6YWWO https://t.c\xe2\x80\xa6'
926086505054871553,2017-11-02 14:00:03,"b""Gimme Shelter 2017: A Look Inside Nashville's Interesting Spaces https://t.co/SQWHN2jFTk https://t.co/7IpyxO4JtB"""
926077588858200065,2017-11-02 13:24:37,b'ICYMI https://t.co/0JXUdYd9ga'
925868880865714176,2017-11-01 23:35:17,"b""IT'S ALL YOUR FAULT: Saros and Arvy bringing us down, but SCORESBERG is here to give you hope on the podcast\xe2\x80\xa6 https://t.co/PvAlj5Xqgz"""
925855286203768832,2017-11-01 22:41:16,"b'RT @BitesBlog: Saltine, a sister restaurant to Etch and @AmerigoTN, to open on West End in the ex-Blackstone space. https://t.co/MM7VXwrbnM\xe2\x80\xa6'"
925847415583858690,2017-11-01 22:09:59,b'Former employees call Webster PR  environment toxic; 2nd singer alleges Kirt Webster made unwanted sexual advances\nhttps://t.co/pLutoqKtpq'
925829810923941888,2017-11-01 21:00:02,"b'Hey #CraftyBastards attendees! @giveit2goodwill will be collecting winter clothing (coats, hats &amp; gloves, etc) at o\xe2\x80\xa6 https://t.co/ltog0aojYi'"
